Name,text,Likes,Time
@WarnerMusicVietnam,"Vũ. - ""Bảo Tàng Của Nuối Tiếc"" Concert Tour 2024 - ĐÃ MỞ BÁN VÉ TRÊN TICKETBOX
📌 TẠI TP. HCM - 12.10.2024 (20:00): https://ticketbox.vn/baotangcuanuoitiec-sg-vu-22908
Trung Tâm Hội Chợ & Triển Lãm Sài Gòn SECC | 799 Đại lộ Nguyễn Văn Linh, Quận 7
📌 TẠI HÀ NỘI - 26.10.2024 (20:00): https://ticketbox.vn/baotangcuanuoitiec-hn-vu-22907
Công viên Yên Sở - Hoàng Mai - Hà Nội | QL1A Yên Sở, Hoàng Mai",811,2024-08-29T09:24:21Z
@ThuMinh-pl8ff,2025 ai còn nghe lại không?,1,2025-07-20T07:29:29Z
@ThuMinh-pl8ff,"""Bình Yên"" thật là hayy",1,2025-07-20T07:29:02Z
@ThuMinh-pl8ff,Bài Hát hay quá!,1,2025-07-20T07:28:39Z
@TungNguyen-ChadChampion,"Ngày 98 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-20T04:11:17Z
@TungQuang-u8m,"Qua 59.339M
Nay 59.453M
Tăng 114k so vs hqua (-20k)",0,2025-07-19T12:52:19Z
@TungNguyen-ChadChampion,"Ngày 97 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-19T02:38:26Z
@TungQuang-u8m,"Qua 59.205M
Nay 59.339M
Tăng 134k so vs hqua (+8k)",0,2025-07-18T12:53:55Z
@TungNguyen-ChadChampion,"Ngày 96 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-18T01:46:18Z
@dzoanfuong2012,"Đạt biết không lần đầu tiên mình nhìn thấy bạn trên báo trí mình thật sự không thích bạn vì vẻ ngoài và lùm xùm trong quá khứ. Nhưng 1 thời gian sau mình đọc báo thấy bạn đối xử với 2 em bé rất tốt không phân biệt gì cả thì mình đã có cách nhìn khác về bạn. Và bây giờ mình hy vọng bạn,  Cindy và 2 em bé luôn luôn hạnh phúc.",0,2025-07-17T15:05:39Z
@TungQuang-u8m,"Qua 59.079M
Nay 59.205M
Tăng 126k so vs hqua (+18k)",0,2025-07-17T12:55:00Z
@Xecaumiennam,nhạc thật chill,0,2025-07-17T09:48:43Z
